Date,apple,csv,facebook,google,NIO,tesla,amazon,netflix,Coke,nike
2020/5/1,72.267502,14.81,202.270004,1320.609985,3.18,140.264008,2286.040039,415.269989,232.139999,85.540001
2020/5/4,73.290001,14.77,205.259995,1326.800049,3.34,152.238007,2315.98999,428.149994,232.880005,85.75
2020/5/5,74.389999,14.77,207.070007,1351.109985,3.28,153.641998,2317.800049,424.679993,233.639999,87.199997
2020/5/6,75.157501,15.01,208.470001,1347.300049,3.62,156.516006,2351.26001,434.26001,239.889999,88.440002
2020/5/7,75.934998,15.27,211.259995,1372.560059,3.63,156.007996,2367.610107,436.529999,230.5,88.559998
2020/5/8,77.532501,15.86,212.350006,1388.369995,3.77,163.884003,2379.610107,435.549988,240.960007,90.459999
2020/5/11,78.752502,15.84,213.179993,1403.26001,3.74,162.257996,2409,440.519989,237.490005,90.93
2020/5/12,77.852501,15.5,210.100006,1375.73999,3.62,161.882004,2356.949951,431.820007,232.080002,88.260002
2020/5/13,76.912498,14.47,205.100006,1349.329956,3.44,158.192001,2367.919922,438.269989,227.559998,86.019997
2020/5/14,77.385002,14.27,206.809998,1356.130005,3.45,160.666,2388.850098,441.950012,229.570007,86.550003
2020/5/15,76.927498,14.38,210.880005,1373.189941,3.37,159.834,2409.780029,454.190002,227.009995,86.989998
2020/5/18,78.739998,15.32,213.190002,1383.939941,3.61,162.725998,2426.26001,452.579987,236.75,91.040001
2020/5/19,78.285004,15.79,216.880005,1373.484985,3.69,161.602005,2449.330078,451.040009,232.929993,91.510002
2020/5/20,79.807503,19.27,229.970001,1406.719971,3.48,163.112,2497.939941,447.670013,238.039993,92.949997
2020/5/21,79.212502,18.6,231.389999,1402.800049,3.33,165.520004,2446.73999,436.25,234.740005,94.260002
2020/5/22,79.722504,18.49,234.910004,1410.420044,3.27,163.376007,2436.879883,429.320007,236.589996,93.75
2020/5/26,79.182503,18.459999,232.199997,1417.02002,3.82,163.774002,2421.860107,414.769989,241.460007,96.620003
2020/5/27,79.527496,18.940001,229.139999,1417.839966,4.17,164.046005,2410.389893,419.890015,250.539993,99.870003
2020/5/28,79.5625,18.52,225.460007,1416.72998,3.83,161.162003,2401.100098,413.440002,246.919998,98.459999
2020/5/29,79.485001,18.719999,225.089996,1428.920044,3.98,167,2442.370117,419.730011,243.429993,98.580002
2020/6/1,80.462502,18.370001,231.910004,1431.819946,4.26,179.619995,2471.040039,425.920013,243.539993,99.540001
